id;title;author;description;publisher;isbn;publication_date;classification;book_status;location;book_reservation
1;Table Fish;Dynamic programming;forecast;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
2;Agent;compress state mobile;high-level;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
3;경북 Borders;calculating 면;ADP synthesizing Developer;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
4;Representative parsing;calculating;Soft Books;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
5;Loan 면 violet;ivory lime;Bacon optical blockchains;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
6;Fish 면;Australian panel;navigating Ergonomic Territory;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
7;backing deposit;CSS navigate;indigo Account drive;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
8;Personal;Web Books transmitter;next-generation;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
9;Table Sleek input;payment salmon;interface;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
10;functionalities Supervisor alarm;Toys;and solid;digital;78204;2020-05-05;Arts;UNAVAILABLE;JEONGJA;
